,words,fdc_id,weight
901,vitamins,167707,0.5
902,low,167707,0.5
903,calorie,167707,0.5
904,tomato,167708,1.5
905,vegetable,167708,1.5
906,juice,167708,1.5
907,low,167708,1.5
908,turkey,167709,1.5
909,wing,167709,1.5
910,smoked,167709,1.5
911,skin,167709,1.5
912,bone,167709,1.5
913,removed,167709,1.5
914,turkey,167710,1.5
915,drumstick,167710,1.5
916,smoked,167710,1.5
917,skin,167710,1.5
918,bone,167710,1.5
919,removed,167710,1.5
920,chocolate,167711,0.5
921,whey,167711,0.5
922,milk,167711,0.5
923,based,167711,0.5
924,pork,167712,1.5
925,cured,167712,1.5
926,bacon,167712,1.5
927,broiled,167712,1.5
928,pan,167712,1.5
929,fried,167712,1.5
930,roasted,167712,1.5
931,reduced,167712,1.5
932,turkey,167713,1.5
933,light,167713,1.5
934,dark,167713,1.5
935,meat,167713,1.5
936,smoked,167713,1.5
937,skin,167713,1.5
938,bone,167713,1.5
939,removed,167713,1.5
940,hearts,167714,1.5
941,palm,167714,1.5
942,post,167715,0.5
943,shredded,167715,0.5
944,wheat,167715,0.5
945,bran,167715,0.5
946,spoon,167715,0.5
947,size,167715,0.5
948,cheese,167716,1.5
949,cottage,167716,1.5
950,lowfat,167716,1.5
951,milkfat,167716,1.5
952,yeast,167717,1.5
953,extract,167717,1.5
954,spread,167717,1.5
955,chicken,167719,1.5
956,meatless,167719,1.5
957,breaded,167719,1.5
958,fried,167719,1.5
959,novelties,167721,0.5
960,juice,167721,0.5
961,juice,167721,0.5
962,cream,167721,0.5
963,tofu,167722,1.5
964,yogurt,167722,1.5
965,alcoholic,167723,0.5
966,beverage,167723,0.5
967,rice,167723,0.5
968,sake,167723,0.5
969,millet,167724,0.5
970,puffed,167724,0.5
971,oat,167725,0.5
972,bran,167725,0.5
973,flakes,167725,0.5
974,health,167725,0.5
975,valley,167725,0.5
976,abbott,167727,0.5
977,ensure,167727,0.5
978,plus,167727,0.5
979,milk,167730,1.5
980,imitation,167730,1.5
981,non,167730,1.5
982,soy,167730,1.5
983,breakfast,167734,0.5
984,bar,167734,0.5
985,corn,167734,0.5
986,flake,167734,0.5
987,crust,167734,0.5
988,fruit,167734,0.5
989,cheese,167735,1.5
990,mozzarella,167735,1.5
991,low,167735,1.5
992,mayonnaise,167736,1.5
993,dressing,167736,1.5
994,cholesterol,167736,1.5
995,oil,167737,1.5
996,corn,167737,1.5
997,peanut,167737,1.5
998,olive,167737,1.5
999,pie,167738,0.5
1000,fillings,167738,0.5
1001,blueberry,167738,0.5
1002,canned,167738,0.5
1003,cocktail,167739,0.5
1004,mix,167739,0.5
1005,non,167739,0.5
1006,alcoholic,167739,0.5
1007,concentrated,167739,0.5
1008,chocolate,167740,0.5
1009,low,167740,0.5
1010,calorie,167740,0.5
1011,dry,167740,0.5
1012,mix,167740,0.5
1013,except,167741,0.5
1014,chocolate,167741,0.5
1015,low,167741,0.5
1016,calorie,167741,0.5
1017,dry,167741,0.5
1018,mix,167741,0.5
1019,mollusks,167742,1.5
1020,scallop,167742,1.5
1021,bay,167742,1.5
1022,sea,167742,1.5
1023,steamed,167742,1.5
1024,syrup,167743,0.5
1025,cane,167743,0.5
1026,mollusks,167744,1.5
1027,snail,167744,1.5
1028,turtle,167745,1.5
1029,green,167745,1.5
1030,lemons,167746,1.5
1031,peel,167746,1.5
1032,lemon,167747,1.5
1033,juice,167747,1.5
1034,lemon,167748,1.5
1035,juice,167748,1.5
1036,concentrate,167748,1.5
1037,canned,167748,1.5
1038,lemon,167749,1.5
1039,peel,167749,1.5
1040,prickly,167750,1.5
1041,pears,167750,1.5
1042,plums,167751,1.5
1043,dried,167751,1.5
1044,prunes,167751,1.5
1045,stewed,167751,1.5
1046,sugar,167751,1.5
1047,plums,167752,1.5
1048,dried,167752,1.5
1049,prunes,167752,1.5
1050,stewed,167752,1.5
1051,sugar,167752,1.5
1052,prune,167753,1.5
1053,juice,167753,1.5
1054,canned,167753,1.5
1055,pummelo,167754,1.5
1056,raspberries,167755,1.5
1057,raspberries,167756,1.5
1058,canned,167756,1.5
1059,red,167756,1.5
1060,heavy,167756,1.5
1061,syrup,167756,1.5
1062,liquids,167756,1.5
1063,raspberries,167757,1.5
1064,red,167757,1.5
1065,sweetened,167757,1.5
1066,rhubarb,167758,1.5
1067,sapodilla,167759,1.5
1068,sapote,167760,1.5
1069,mamey,167760,1.5
1070,soursop,167761,1.5
1071,strawberries,167762,1.5
1072,tamarinds,167763,1.5
1073,fruit,167764,1.5
1074,salad,167764,1.5
1075,pineapple,167764,1.5
1076,papaya,167764,1.5
1077,banana,167764,1.5
1078,guava,167764,1.5
1079,tropical,167764,1.5
1080,canned,167764,1.5
1081,heavy,167764,1.5
1082,syrup,167764,1.5
1083,liquids,167764,1.5
1084,watermelon,167765,1.5
1085,maraschino,167766,1.5
1086,cherries,167766,1.5
1087,canned,167766,1.5
1088,drained,167766,1.5
1089,pineapple,167767,1.5
1090,canned,167767,1.5
1091,juice,167767,1.5
1092,drained,167767,1.5
1093,apricots,167768,1.5
1094,canned,167768,1.5
1095,heavy,167768,1.5
